# Simulation 7 (Up to date)
# 422 data points written for 13 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°),Mach number (?),Air temperature (°C),Air pressure (mbar)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
24.56,634.45,-10.632,0.0053856,10.635,0.11352,20.013,0.016583,28.61,-80.6,0.031477,10.842,938.99
25.06,629.13,-10.629,0.0051345,10.632,0.088802,18.921,0.0165,28.61,-80.6,0.031466,10.876,939.59
25.56,623.82,-10.626,0.0058148,10.63,0.12863,17.857,0.016417,28.61,-80.6,0.031458,10.911,940.18
26.06,618.51,-10.624,0.0046977,10.626,0.043008,16.804,0.016336,28.61,-80.6,0.031445,10.945,940.77
26.56,613.2,-10.62,0.0066747,10.625,0.16909,15.766,0.016255,28.61,-80.6,0.03144,10.98,941.37
27.06,607.89,-10.617,0.0063404,10.623,0.21372,14.776,0.016175,28.61,-80.6,0.031431,11.014,941.96
27.56,602.58,-10.616,0.0032938,10.617,0.053598,13.806,0.016097,28.61,-80.6,0.031413,11.049,942.55
28.06,597.27,-10.613,0.0057891,10.616,0.11829,12.815,0.016022,28.61,-80.6,0.031408,11.083,943.15
28.56,591.97,-10.61,0.0051427,10.613,0.094355,11.797,0.015946,28.61,-80.6,0.031397,11.118,943.74
29.06,586.66,-10.608,0.0049627,10.61,0.04154,10.773,0.01587,28.61,-80.6,0.031386,11.152,944.33
29.56,581.36,-10.604,0.0068673,10.609,0.18018,9.7758,0.015794,28.61,-80.6,0.031382,11.187,944.93
30.06,576.06,-10.601,0.0058713,10.607,0.20193,8.8268,0.015718,28.61,-80.6,0.031371,11.221,945.52
30.56,570.76,-10.597,0.008262,10.607,0.31025,7.8642,0.015643,28.61,-80.6,0.03137,11.256,946.11
31.06,565.46,-10.597,6.3252e-4,10.597,0.010419,6.8615,0.01557,28.61,-80.6,0.03134,11.29,946.7
31.56,560.16,-10.594,0.0057926,10.598,0.12911,5.8737,0.015495,28.61,-80.6,0.03134,11.325,947.29
32.06,554.87,-10.59,0.0080297,10.598,0.2613,4.8693,0.015421,28.61,-80.6,0.031338,11.359,947.89
32.56,549.57,-10.588,0.0039062,10.592,0.19107,3.8084,0.015346,28.61,-80.6,0.031319,11.393,948.48
33.06,544.28,-10.583,0.010644,10.596,0.38056,2.7712,0.015268,28.61,-80.6,0.031328,11.428,949.07
33.56,538.99,-10.582,6.0281e-4,10.585,0.20866,1.7555,0.01519,28.61,-80.6,0.031294,11.462,949.66
34.06,533.7,-10.581,0.003003,10.583,0.078396,0.72343,0.015113,28.61,-80.6,0.031285,11.497,950.25
34.56,528.41,-10.579,0.004822,10.581,0.016438,-0.30078,0.015036,28.61,-80.6,0.031278,11.531,950.84
35.06,523.12,-10.574,0.0089514,10.583,0.2689,-1.3605,0.014958,28.61,-80.6,0.031281,11.565,951.43
35.56,517.83,-10.573,0.0019001,10.574,0.035633,-2.4495,0.01488,28.61,-80.6,0.031254,11.6,952.03
36.06,512.55,-10.569,0.0091259,10.578,0.28752,-3.498,0.014799,28.61,-80.6,0.031262,11.634,952.62
36.56,507.26,-10.568,0.0013893,10.569,0.025523,-4.5138,0.01472,28.61,-80.6,0.031234,11.668,953.21
37.06,501.98,-10.564,0.0073057,10.57,0.21713,-5.5057,0.014642,28.61,-80.6,0.031237,11.703,953.8
37.56,496.7,-10.562,0.0040955,10.565,0.14457,-6.4885,0.014565,28.61,-80.6,0.03122,11.737,954.39
38.06,491.42,-10.559,0.0066826,10.565,0.21635,-7.5164,0.01449,28.61,-80.6,0.031217,11.771,955
38.56,486.14,-10.557,0.0037651,10.559,0.1005,-8.5839,0.014413,28.61,-80.6,0.031199,11.806,955.62
39.06,480.86,-10.554,0.0061916,10.558,0.1607,-9.6438,0.014335,28.61,-80.6,0.031194,11.84,956.23
39.56,475.58,-10.551,0.0062848,10.556,0.19671,-10.708,0.014256,28.61,-80.6,0.031185,11.874,956.85
40.06,470.31,-10.549,0.0036334,10.551,0.023826,-11.8,0.014177,28.61,-80.6,0.031168,11.909,957.47
40.56,465.04,-10.546,0.005677,10.549,0.077379,-12.905,0.014096,28.61,-80.6,0.031161,11.943,958.09
41.06,459.76,-10.543,0.0053451,10.546,0.047907,-14.025,0.014014,28.61,-80.6,0.03115,11.977,958.71
41.56,454.49,-10.54,0.0057406,10.544,0.085254,-15.141,0.013931,28.61,-80.6,0.031141,12.012,959.33
42.06,449.22,-10.538,0.0053885,10.541,0.068388,-16.237,0.013848,28.61,-80.6,0.03113,12.046,959.95
42.56,443.95,-10.535,0.0062753,10.539,0.14255,-17.307,0.013765,28.61,-80.6,0.031123,12.08,960.56
43.06,438.69,-10.532,0.005102,10.535,0.10795,-18.346,0.013683,28.61,-80.6,0.03111,12.114,961.18
43.56,433.42,-10.529,0.006052,10.533,0.15347,-19.352,0.013603,28.61,-80.6,0.031103,12.149,961.8
44.06,428.16,-10.525,0.0079246,10.533,0.26426,-20.372,0.013525,28.61,-80.6,0.0311,12.183,962.42
44.56,422.9,-10.524,0.002074,10.525,0.013053,-21.426,0.013448,28.61,-80.6,0.031075,12.217,963.03
45.06,417.64,-10.519,0.0099874,10.529,0.30734,-22.444,0.01337,28.61,-80.6,0.031085,12.251,963.65
45.56,412.38,-10.518,0.0018949,10.52,0.13508,-23.407,0.013293,28.61,-80.6,0.031056,12.285,964.27
46.06,407.12,-10.516,0.0042948,10.518,0.014658,-24.354,0.013218,28.61,-80.6,0.031049,12.32,964.89
46.56,401.86,-10.513,0.0060801,10.517,0.12081,-25.288,0.013145,28.61,-80.6,0.031043,12.354,965.5
47.06,396.61,-10.51,0.0056245,10.514,0.12994,-26.223,0.013073,28.61,-80.6,0.031032,12.388,966.12
47.56,391.35,-10.506,0.0074967,10.513,0.24087,-27.144,0.013002,28.61,-80.6,0.031028,12.422,966.73
48.06,386.1,-10.503,0.0060644,10.51,0.26111,-28.003,0.012932,28.61,-80.6,0.031017,12.456,967.35
48.56,380.85,-10.502,0.0024097,10.504,0.090764,-28.818,0.012865,28.61,-80.6,0.030997,12.49,967.97
49.06,375.6,-10.499,0.0065642,10.504,0.18513,-29.644,0.0128,28.61,-80.6,0.030996,12.524,968.58
49.56,370.35,-10.492,0.014548,10.51,0.46009,-30.551,0.012737,28.61,-80.6,0.031013,12.559,969.2
50.06,365.1,-10.494,-0.0046909,10.492,0.045997,-31.51,0.012672,28.61,-80.6,0.030955,12.593,969.81
50.56,359.86,-10.491,0.0054501,10.495,0.12725,-32.479,0.012603,28.61,-80.6,0.030963,12.627,970.43
51.06,354.61,-10.488,0.0056771,10.492,0.14726,-33.482,0.012533,28.61,-80.6,0.030954,12.661,971.04
51.56,349.37,-10.486,0.0049201,10.489,0.11355,-34.49,0.012461,28.61,-80.6,0.030942,12.695,971.66
52.06,344.13,-10.483,0.0051362,10.486,0.095023,-35.471,0.012387,28.61,-80.6,0.030932,12.729,972.27
52.56,338.89,-10.48,0.0058882,10.484,0.13838,-36.458,0.012313,28.61,-80.6,0.030924,12.763,972.89
53.06,333.65,-10.478,0.0046651,10.481,0.070377,-37.471,0.01224,28.61,-80.6,0.030912,12.797,973.5
53.56,328.41,-10.474,0.008187,10.481,0.24696,-38.523,0.012165,28.61,-80.6,0.030912,12.831,974.12
54.06,323.17,-10.473,0.0024015,10.474,0.006444,-39.606,0.012089,28.61,-80.6,0.030888,12.865,974.73
54.56,317.94,-10.47,0.0064924,10.474,0.16147,-40.708,0.01201,28.61,-80.6,0.030887,12.899,975.35
55.06,312.7,-10.467,0.0053635,10.471,0.16111,-41.81,0.01193,28.61,-80.6,0.030875,12.933,975.96
55.56,307.47,-10.463,0.0070876,10.47,0.24701,-42.861,0.011849,28.61,-80.6,0.030871,12.967,976.58
56.06,302.24,-10.462,0.0035615,10.465,0.15638,-43.862,0.011769,28.61,-80.6,0.030853,13.001,977.19
56.56,297.01,-10.459,0.0044014,10.462,0.091896,-44.854,0.011691,28.61,-80.6,0.030843,13.035,977.8
57.06,291.78,-10.456,0.0063064,10.461,0.17023,-45.88,0.011615,28.61,-80.6,0.030838,13.069,978.42
57.56,286.55,-10.452,0.0087704,10.461,0.31152,-46.887,0.011539,28.61,-80.6,0.030838,13.103,979.03
58.06,281.33,-10.451,8.8653e-4,10.452,0.07553,-47.866,0.011464,28.61,-80.6,0.030808,13.137,979.64
58.56,276.1,-10.449,0.0048634,10.451,0.05435,-48.86,0.011389,28.61,-80.601,0.030805,13.171,980.26
59.06,270.88,-10.446,0.0051266,10.449,0.024117,-49.864,0.011315,28.61,-80.601,0.030795,13.205,980.87
59.56,265.65,-10.444,0.0052612,10.446,0.027005,-50.868,0.011241,28.61,-80.601,0.030786,13.239,981.48
60.06,260.43,-10.441,0.0058807,10.444,0.11197,-51.882,0.011166,28.61,-80.601,0.030778,13.273,982.09
60.56,255.21,-10.438,0.0051055,10.441,0.093575,-52.923,0.011091,28.61,-80.601,0.030767,13.307,982.71
61.06,250,-10.435,0.0067419,10.44,0.19722,-53.95,0.011015,28.61,-80.601,0.030763,13.341,983.32
61.56,244.78,-10.432,0.005984,10.438,0.22798,-54.924,0.010938,28.61,-80.601,0.030753,13.375,983.93
62.06,239.56,-10.43,0.0029625,10.432,0.077368,-55.879,0.010864,28.61,-80.601,0.030735,13.409,984.54
62.56,234.35,-10.428,0.0047802,10.43,0.0080425,-56.843,0.010791,28.61,-80.601,0.030728,13.443,985.15
63.06,229.14,-10.425,0.0068487,10.43,0.17892,-57.829,0.010719,28.61,-80.601,0.030724,13.477,985.76
63.56,223.92,-10.422,0.0042435,10.425,0.10474,-58.85,0.010646,28.61,-80.601,0.030709,13.511,986.38
64.06,218.71,-10.419,0.0068561,10.425,0.2125,-59.857,0.010572,28.61,-80.601,0.030706,13.544,986.99
64.56,213.5,-10.416,0.0059003,10.422,0.23922,-60.808,0.010497,28.61,-80.601,0.030696,13.578,987.6
65.06,208.3,-10.415,0.002377,10.416,0.029444,-61.726,0.010425,28.61,-80.601,0.030676,13.612,988.21
65.56,203.09,-10.412,0.0064201,10.416,0.16682,-62.66,0.010354,28.61,-80.601,0.030675,13.646,988.82
66.06,197.88,-10.409,0.0056321,10.414,0.18687,-63.639,0.010284,28.61,-80.601,0.030665,13.68,989.43
66.56,192.68,-10.407,0.0034533,10.409,0.03082,-64.638,0.010213,28.61,-80.601,0.03065,13.714,990.04
67.06,187.48,-10.404,0.006454,10.409,0.16625,-65.653,0.01014,28.61,-80.601,0.030647,13.748,990.65
67.56,182.28,-10.401,0.0056581,10.406,0.19125,-66.665,0.010066,28.61,-80.601,0.030637,13.781,991.26
68.06,177.08,-10.399,0.0033355,10.401,0.003838,-67.653,0.009992,28.61,-80.601,0.030621,13.815,991.87
68.56,171.88,-10.396,0.006801,10.401,0.1843,-68.664,0.0099182,28.61,-80.601,0.03062,13.849,992.48
69.06,166.68,-10.394,0.003498,10.396,0.0070325,-69.697,0.0098438,28.61,-80.601,0.030602,13.883,993.09
69.56,161.48,-10.391,0.0057176,10.395,0.11651,-70.715,0.0097684,28.61,-80.601,0.030597,13.917,993.7
70.06,156.29,-10.389,0.0049831,10.392,0.10042,-71.706,0.009693,28.61,-80.601,0.030587,13.95,994.31
70.56,151.1,-10.384,0.010254,10.395,0.33157,-72.726,0.0096185,28.61,-80.601,0.030594,13.984,994.92
71.06,145.9,-10.383,7.0318e-4,10.385,0.13242,-73.803,0.0095436,28.61,-80.601,0.030562,14.018,995.53
71.56,140.71,-10.379,0.0081896,10.388,0.28957,-74.861,0.0094664,28.61,-80.601,0.030569,14.052,996.14
72.06,135.52,-10.378,0.0025154,10.381,0.17199,-75.861,0.0093887,28.61,-80.601,0.030547,14.085,996.75
72.56,130.34,-10.376,0.0045854,10.379,0.14745,-76.859,0.0093127,28.61,-80.601,0.03054,14.119,997.36
73.06,125.15,-10.373,0.0049082,10.377,0.13868,-77.857,0.0092378,28.61,-80.601,0.030531,14.153,997.96
73.56,119.96,-10.369,0.0082316,10.378,0.28318,-78.873,0.0091633,28.61,-80.601,0.030532,14.187,998.57
74.06,114.78,-10.368,0.0019593,10.37,0.12719,-79.909,0.0090886,28.61,-80.601,0.030508,14.22,999.18
74.56,109.59,-10.366,0.0045805,10.369,0.099871,-80.917,0.009013,28.61,-80.601,0.030502,14.254,999.79
75.06,104.41,-10.362,0.0075319,10.369,0.24091,-81.942,0.0089379,28.61,-80.601,0.030501,14.288,1000.4
75.56,99.232,-10.36,0.0033982,10.363,0.15037,-83.016,0.0088625,28.61,-80.601,0.030483,14.321,1001
76.06,94.052,-10.358,0.0044706,10.361,0.11588,-84.094,0.0087853,28.61,-80.601,0.030474,14.355,1001.6
76.56,88.874,-10.356,0.0044667,10.358,0.048009,-85.164,0.0087069,28.61,-80.601,0.030464,14.389,1002.2
77.06,83.696,-10.353,0.0052238,10.356,0.081879,-86.23,0.0086282,28.61,-80.601,0.030456,14.422,1002.8
77.56,78.52,-10.351,0.0047179,10.353,0.010719,-87.284,0.0085496,28.61,-80.601,0.030446,14.456,1003.4
78.06,73.345,-10.348,0.0053713,10.351,0.082725,-88.347,0.0084713,28.61,-80.601,0.030438,14.49,1004
78.56,68.172,-10.346,0.0047371,10.348,0.031436,-89.417,0.008393,28.61,-80.601,0.030427,14.523,1004.6
79.06,62.999,-10.343,0.0052328,10.346,0.074769,-90.473,0.0083144,28.61,-80.601,0.030419,14.557,1005.3
79.56,57.828,-10.341,0.0047542,10.343,0.010826,-91.522,0.0082361,28.61,-80.601,0.030409,14.591,1005.9
80.06,52.659,-10.338,0.0050877,10.341,0.045351,-92.566,0.0081583,28.61,-80.601,0.030401,14.624,1006.5
80.56,47.49,-10.336,0.0054668,10.339,0.10356,-93.617,0.0080809,28.61,-80.601,0.030393,14.658,1007.1
81.06,42.323,-10.333,0.0044683,10.336,0.0048352,-94.681,0.0080034,28.61,-80.601,0.030381,14.691,1007.7
81.56,37.157,-10.331,0.0050694,10.334,0.044497,-95.75,0.0079256,28.61,-80.601,0.030373,14.725,1008.3
82.06,31.992,-10.328,0.0053584,10.331,0.097634,-96.813,0.0078473,28.61,-80.601,0.030365,14.758,1008.9
82.56,26.828,-10.326,0.0045205,10.328,0.0055653,-97.863,0.007769,28.61,-80.601,0.030354,14.792,1009.5
83.06,21.667,-10.321,0.0097701,10.331,0.309,-98.874,0.0076912,28.61,-80.601,0.03036,14.826,1010.1
83.56,16.506,-10.321,9.1488e-4,10.322,0.10184,-99.859,0.007615,28.61,-80.601,0.030331,14.859,1010.7
84.06,11.347,-10.317,0.0063161,10.323,0.20165,-100.88,0.0075406,28.61,-80.601,0.030332,14.893,1011.3
84.56,6.1882,-10.316,0.0030289,10.318,0.041205,-101.94,0.0074657,28.61,-80.601,0.030315,14.926,1011.9
85.06,1.0314,-10.311,0.0091672,10.321,0.2954,-102.96,0.0073897,28.61,-80.601,0.030322,14.96,1012.5
# Event GROUND_HIT occurred at t=85.56 seconds
# Event SIMULATION_END occurred at t=85.56 seconds
85.56,-4.1241,-10.31,0.0022644,10.313,0.17201,-103.96,0.007314,28.61,-80.601,0.030298,14.993,1013.1
